i7-8700K BX80684I78700K Q4'17 LGA1151 3.7 4.7 12 6 12 Yes 95 2015D 630 350 1200 Yes Yes Yes 14 nm 2400 NA NA Go
i7-8700 BX80684I78700 Q4'17 LGA1151 3.2 4.6 12 6 12 Yes 65 2015C 630 350 1200 Yes Yes Yes 14 nm 2400 NA NA Go
i7-7700T BX80677I77700T Q1'17 LGA1151 2.9 3.8 8 4 8 Yes 35 2015A 630 350 1150 Yes Yes Yes 14 nm 2400 1600 NA Go
i7-7700K BX80677I77700K Q1'17 LGA1151 4.2 4.5 8 4 8 Yes 91 2015D 630 350 1150 Yes Yes Yes 14 nm 2400 1600 NA Go
i7-7700 BX80677I77700 Q1'17 LGA1151 3.6 4.2 8 4 8 Yes 65 2015C 630 350 1150 Yes Yes Yes 14 nm 2400 1600 NA Go
i7-6900K BX80671I76900K Q2'16 LGA2011V3 3.2 3.7 20 8 16 Yes 140 2011P No NA Yes Yes Yes 14nm 2400 NA NA Go
i7-6850K BX80671I76850K Q2'16 LGA2011V3 3.6 3.8 15 6 12 Yes 140 2011P No NA Yes Yes Yes 14 nm 2400 NA NA Go
i7-6800K BX80671I76800K Q2'16 LGA2011V3 3.4 3.6 15 6 12 Yes 140 2011P No NA Yes Yes Yes 14 nm 2400 NA NA Go
i7-6785R Not_boxed Q2'16 BGA1440 3.3 3.9 8 4 8 Yes 65 2015C 580 350 1150 Yes Yes Yes 14 nm 2133 1600 NA Go
i7-6700T BXC80662I76700T Q3'15 LGA1151 2.8 3.6 8 4 8 Yes 35 2015A 530 350 1100 Yes Yes Yes 14nm 2133 1600 NA Go
i7-6700K BX80662I76700K Q3'15 LGA1151 4 4.2 8 4 8 Yes 91 2015D 530 350 1150 Yes Yes Yes 14 nm 2133 1600 NA Go
i7-6700 BX80662I76700 Q3'15 LGA1151 3.4 4 8 4 8 Yes 65 2015C 530 350 1150 Yes Yes Yes 14 nm 2133 1600 NA Go
i7-5930K BX80648I75930K Q3'14 LGA2011V3 3.5 3.7 15 6 12 Yes 140 2011P No NA Yes Yes Yes 22 nm 2133 NA NA Go
i7-5820K BX80648I75820K Q3'14 LGA2011V3 3.3 3.6 15 6 12 Yes 140 2011P No NA Yes Yes Yes 22 nm 2133 NA NA Go
i7-5775R Not_boxed Q2'15 LGA1150 3.3 3.8 6 4 8 Yes 65 2013D 6200 300 1150 Yes Yes Yes 14 nm NA 1866 NA Go
i7-5775C BX80658I75775C Q2'15 LGA1150 3.3 3.7 6 4 8 Yes 65 2013D 6200 300 1150 Yes Yes Yes 14 nm NA 1600 NA Go
i7-4930K BX80633I74930K Q3'13 LGA2011 3.4 3.9 12 6 12 Yes 130 2011P No NA Yes Yes Yes 22 nm NA NA 1866 Go
i7-4820K BX80633I74820K Q3'13 LGA2011 3.7 3.9 10 4 8 Yes 130 2011P No NA Yes Yes Yes 22 nm NA NA 1866 Go
i7-4790T Not_boxed Q2'14 LGA1150 2.7 3.9 8 4 8 Yes 45 2013B 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4790S BX80646I74790S Q2'14 LGA1150 3.2 4 8 4 8 Yes 65 2013C 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4790K BX80646I74790K Q2'14 LGA1150 4 4.4 8 4 8 Yes 88 2013D 4600 350 1250 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4790 BX80646I74790 Q2'14 LGA1150 3.6 4 8 4 8 Yes 84 2013D 5200 200 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4785T Not_boxed Q2'14 LGA1150 2.2 3.2 8 4 8 Yes 35 2013A 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4771 BX80646I74771 Q3'13 LGA1150 3.5 3.9 8 4 8 Yes 84 2013D 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4770T Not_boxed Q2'13 LGA1150 2.5 3.7 8 4 8 Yes 45 2013B 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4770S BX80646I74770S Q2'13 LGA1150 3.1 3.9 8 4 8 Yes 65 2013C 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4770R Not_boxed Q213 BGA1364 3.2 3.9 8 4 8 Yes 65 2013C 5200 200 1300 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4770K BX80646I74770K Q2'13 LGA1150 3.5 3.9 8 4 8 Yes 84 2013D 4600 350 1250 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4770 BX80646I74770 Q2'13 LGA1150 3.4 3.9 8 4 8 Yes 84 2013D 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600 Go
i7-4765T Not_boxed Q2'13 LGA1150 2 3 8 4 8 Yes 35 2012A 4600 350 1200 Yes Yes Yes 22 nm NA 1600 1600
