BigMac 221 965 2135 230 510 26% 12 26 37% 5 10 50% 19 41 16% 4 8 9% 1 3 12 27 54% 1,0 2,2 37%
RoyalDeluxe 227 1005 2280 240 545 27% 14 32 46% 5 11 55% 14 32 12% 3 6 7% 1 3 14 31 62% 0,7 1,6 27%
RoyalBacon 197 1075 2115 255 505 25% 13 26 37% 6 12 60% 17 34 13% 4 8 9% 1 2 17 33 66% 0,8 1,6 27%
RoyalCheese 207 1070 2220 255 530 27% 14 28 40% 7 14 70% 17 36 14% 4 9 10% 1 3 15 32 64% 1,1 2,3 38%
DoubleCheeseburger 173 1090 1885 260 450 23% 14 24 34% 7 12 60% 18 31 12% 5 8 9% 1 2 16 27 54% 1,3 2,2 37%
Hamburger 106 1005 1065 240 255 13% 8 9 13% 4 4 20% 28 30 12% 7 7 8% 2 2 12 13 26% 1,2 1,3 22%
Cheeseburger 120 1065 1275 255 305 15% 11 13 19% 5 6 30% 25 30 12% 6 7 8% 2 2 13 16 32% 1,3 1,6 27%
McChicken 205 970 1985 230 475 24% 11 22 31% 1 3 15% 22 45 17% 1 2 2% 1 3 11 23 46% 0,9 1,8 30%
ChickenMcNuggets(4morceaux) 72 1015 730 245 175 9% 13 9 13% 1 1 5% 17 12 5% 0 0 0% 1 1 15 11 22% 1,1 0,8 13%
McFish 123 935 1150 225 275 14% 6 7 10% 1 1 5% 32 39 15% 7 8 9% 2 2 11 13 26% 1,2 1,5 25%
Filet-O-Fish 136 985 1340 235 320 16% 10 13 19% 2 3 15% 26 36 14% 4 5 6% 1 2 10 14 28% 1,1 1,5 25%
CroqueMcDo 95 1145 1090 275 260 13% 11 10 14% 6 6 30% 28 27 10% 4 4 4% 2 2 15 14 28% 1,8 1,7 28%
CassecrouteBœufOignons 247 1045 2585 250 620 31% 13 32 46% 4 11 55% 22 55 21% 2 5 6% 1 3 11 26 52% 0,8 2,0 33%
CassecroutePouletCrudités 277 960 2660 230 635 32% 11 30 43% 1 4 20% 25 68 26% 1 4 4% 2 5 8 21 42% 1,1 3,0 50%
LeM  247 1010 2500 240 595 30% 13 31 44% 5 12 60% 17 42 16% 1 3 3% 1 3 15 36 72% 1,0 2,5 42%
LeMBacon  253 1045 2645 250 630 32% 13 34 49% 5 13 65% 17 42 16% 1 3 3% 1 3 15 38 76% 1,1 2,9 48%
McWrapPouletCroustillant&Bacon  258 980 2530 235 605 30% 12 31 44% 3 7 35% 21 53 20% 2 5 6% 1 3 10 27 54% 0,7 1,9 32%
McWrapPouletCroustillantPoivre 279 965 2700 230 645 32% 12 34 49% 3 8 40% 19 54 21% 2 5 6% 1 4 10 29 58% 0,9 2,5 42%
P’titWrapRanch 131 1020 1340 245 320 16% 12 16 23% 2 3 15% 22 29 11% 2 3 3% 2 2 11 14 28% 0,8 1,0 17%
P’titItalien 129 1130 1460 270 350 18% 13 17 24% 5 7 35% 23 30 12% 5 6 7% 2 2 14 18 36% 0,8 1,0 17%
Fritepetite 80 1255 1005 300 240 12% 15 12 17% 1 1 5% 36 29 11% 0 0 0% 4 3 4 3 6% 0,5 0,4 7%
DeluxePotatoesmoyenne 110 820 900 195 215 11% 9 10 14% 1 1 5% 25 27 10% 0 0 0% 3 3 3 3 6% 1,2 1,3 22%
P’titesalade  75 420 315 100 75 4% 8 6 9% 1 1 5% 5 4 2% 3 2 2% 1 1 1 1 2% 0,9 0,7 12%
P’titestomates 60 65 40 15 10 1% 2 1 1% 0 0 0% 3 2 1% 3 2 2% 2 1 0 0 0% 0,2 0,1 2%
Salade Caesar 200 375 755 90 180 9% 5 9 13% 3 5 25% 3 6 2% 2 4 4% 1 2 10 20 40% 0,9 1,7 28%
Salade Pâte Mozzarella 264 810 2 135 195 510 26% 9 25 36% 3 7 35% 18 47 18% 2 6 7% 2 5 8 22 44% 0,7 1,9 32%
SaladePommedeterrePouletOignon 290 310 895 75 215 11% 1 4 6% 0 1 5% 10 28 11% 1 4 4% 2 5 4 13 26% 0,9 2,7 45%
Sundaenappagesaveurcaramel159 855 1360 205 325 16% 6 9 13% 3 5 25% 34 54 21% 28 44 49% 1 1 4 7 14% 0,2 0,3 5%
FrappéMyrtille-Framboise 148 510 755 120 180 9% 3 4 6% 2 3 15% 22 32 12% 20 29 32% 0 0 3 4 8% 0,0 0,0 0%
Very parfaitcoulis fraise 196 580 1140 140 270 14% 5 10 14% 4 7 35% 20 40 15% 19 37 41% 1 1 3 5 10% 0,1 0,2 3%
