id;nom;nom_de_famille;prenom;sexe;date_naissance;num_deptmt;parti_ratt_financier;profession;place_en_hemicycle;nb_mandats;nb_mois;semaines_presence;semaines_presence_moyenne_mensuelle;commission_presences;commission_presences_moyenne_mensuelle;commission_interventions;commission_interventions_moyenne_mensuelle;hemicycle_interventions;hemicycle_interventions_moyenne_mensuelle;hemicycle_interventions_courtes;hemicycle_interventions_courtes_moyenne_mensuelle;amendements_proposes;amendements_proposes_moyenne_mensuelle;amendements_signes;amendements_signes_moyenne_mensuelle;amendements_adoptes;amendements_adoptes_moyenne_mensuelle;rapports;rapports_moyenne_mensuelle;propositions_ecrites;propositions_ecrites_moyenne_mensuelle;propositions_signees;propositions_signees_moyenne_mensuelle;questions_ecrites;questions_ecrites_moyenne_mensuelle;questions_orales;questions_orales_moyenne_mensuelle
350;Damien Abad;Abad;Damien;H;1980-04-05;1;Les Républicains;Sans profession declaree;78;2;47;146;3.11;207;4.4;242;5.15;1017;21.64;1163;24.74;1310;27.87;7988;169.96;248;5.28;6;0.13;7;0.15;488;10.38;318;6.77;23;0.49
370;Laurence Abeille;Abeille;Laurence;F;1960-06-17;94;Europe Écologie Les Verts;Cadre du secteur privé;308;2;47;153;3.26;249;5.3;684;14.55;554;11.79;185;3.94;630;13.4;6661;141.72;807;17.17;3;0.06;7;0.15;58;1.23;192;4.09;20;0.43
557;Ibrahim Aboubacar;Aboubacar;Ibrahim;H;1965-02-01;976;Parti socialiste;Ingénieur des travaux publics;648;2;47;107;2.28;172;3.66;129;2.74;115;2.45;15;0.32;90;1.91;896;19.06;267;5.68;3;0.06;0;0;65;1.38;1;0.02;10;0.21
604;Élie Aboud;Aboud;Élie;H;1959-10-12;34;Les Républicains;Médecin cardiologue (Chef de service);123;2;42;120;2.86;175;4.17;304;7.24;267;6.36;254;6.05;319;7.6;5032;119.81;121;2.88;0;0;10;0.24;261;6.21;417;9.93;14;0.33
173;Bernard Accoyer;Accoyer;Bernard;H;1945-08-12;74;Les Républicains;Médecin ORL;93;2;47;162;3.45;237;5.04;525;11.17;1217;25.89;2372;50.47;1161;24.7;3407;72.49;94;2;0;0;22;0.47;237;5.04;74;1.57;13;0.28
215;Patricia Adam;Adam;Patricia;F;1953-04-15;29;Parti socialiste;Cadre d'action sociale;442;1;47;146;3.11;318;6.77;1214;25.83;242;5.15;178;3.79;247;5.26;426;9.06;274;5.83;9;0.19;2;0.04;73;1.55;71;1.51;5;0.11
432;Sylviane Alaux;Alaux;Sylviane;F;1945-07-01;64;Parti socialiste;Retraitée du secteur privé;385;2;47;115;2.45;206;4.38;82;1.74;20;0.43;2;0.04;21;0.45;1545;32.87;341;7.26;0;0;0;0;76;1.62;29;0.62;5;0.11
440;Éric Alauzet;Alauzet;Éric;H;1958-06-07;25;Europe Écologie Les Verts;Médecin;272;2;47;177;3.77;435;9.26;729;15.51;1069;22.74;261;5.55;965;20.53;6527;138.87;769;16.36;5;0.11;0;0;66;1.4;184;3.91;29;0.62
195;Yves Albarello;Albarello;Yves;H;1952-03-17;77;Les Républicains;Directeur administratif et financier;117;2;47;151;3.21;223;4.74;180;3.83;132;2.81;78;1.66;77;1.64;2737;58.23;69;1.47;1;0.02;1;0.02;155;3.3;53;1.13;25;0.53
576;Brigitte Allain;Allain;Brigitte;F;1956-04-23;24;Europe Écologie Les Verts;Agricultrice-propriétaire exploitante;311;1;47;154;3.28;276;5.87;669;14.23;505;10.74;253;5.38;708;15.06;6780;144.26;794;16.89;4;0.09;4;0.09;54;1.15;157;3.34;23;0.49
453;Jean-Pierre Allossery;Allossery;Jean-Pierre;H;1945-07-31;59;Parti socialiste;Retraité du secteur privé;645;2;47;140;2.98;208;4.43;49;1.04;29;0.62;12;0.26;7;0.15;985;20.96;322;6.85;1;0.02;0;0;71;1.51;100;2.13;8;0.17
102;Nicole Ameline;Ameline;Nicole;F;1952-07-04;14;Les Républicains;Directrice territoriale;83;1;47;95;2.02;126;2.68;91;1.94;81;1.72;52;1.11;22;0.47;2373;50.49;74;1.57;5;0.11;0;0;106;2.26;43;0.91;18;0.38
374;Pouria Amirshahi;Amirshahi;Pouria;H;1972-03-27;999;Non rattaché;Cadre territorial de catégorie A;315;1;47;114;2.43;144;3.06;91;1.94;201;4.28;144;3.06;176;3.74;1390;29.57;200;4.26;2;0.04;0;0;49;1.04;27;0.57;4;0.09
509;François André;André;François;H;1967-07-19;35;Parti socialiste;Fonctionnaire de catégorie A;628;2;47;148;3.15;255;5.43;95;2.02;91;1.94;246;5.23;56;1.19;374;7.96;120;2.55;5;0.11;0;0;70;1.49;53;1.13;10;0.21
257;Sylvie Andrieux;Andrieux;Sylvie;F;1961-12-15;13;Non rattaché;Cadre commercial d'entreprise de manutention et d'acconage;326;3;44;83;1.89;112;2.55;0;0;3;0.07;1;0.02;0;0;2;0.05;1;0.02;0;0;0;0;8;0.18;16;0.36;1;0.02
161;Benoist Apparu;Apparu;Benoist;H;1969-11-24;51;Les Républicains;Sans profession declaree;14;2;47;141;3;180;3.83;273;5.81;421;8.96;590;12.55;255;5.43;2453;52.19;79;1.68;2;0.04;0;0;69;1.47;114;2.43;9;0.19
377;Nathalie Appéré;Appéré;Nathalie;F;1975-07-08;35;Parti socialiste;Directrice d'équipement social et culturel;600;2;47;131;2.79;193;4.11;132;2.81;209;4.45;123;2.62;311;6.62;889;18.91;407;8.66;1;0.02;0;0;49;1.04;114;2.43;4;0.09
405;Kader Arif;Arif;Kader;H;1959-07-03;31;Parti socialiste;Cadre administratif;431;2;23;66;2.87;127;5.52;45;1.96;8;0.35;1;0.04;32;1.39;210;9.13;27;1.17;2;0.09;0;0;48;2.09;12;0.52;3;0.13
617;Laurence Arribagé;Arribagé;Laurence;F;1970-05-25;31;Les Républicains;Conseil en communication;151;2;28;65;2.32;74;2.64;24;0.86;32;1.14;4;0.14;4;0.14;1622;57.93;54;1.93;0;0;2;0.07;126;4.5;112;4;10;0.36
71;François Asensi;Asensi;François;H;1945-06-01;93;Forces de gauche;Dessinateur industriel;588;2;47;117;2.49;122;2.6;46;0.98;389;8.28;81;1.72;229;4.87;4275;90.96;190;4.04;0;0;6;0.13;105;2.23;41;0.87;25;0.53
563;Christian Assaf;Assaf;Christian;H;1972-09-01;34;Parti socialiste;Fonctionnaire de catégorie A;561;2;47;141;3;243;5.17;76;1.62;60;1.28;94;2;14;0.3;821;17.47;162;3.45;2;0.04;0;0;68;1.45;124;2.64;4;0.09
589;Avi Assouly;Assouly;Avi;H;1950-06-05;13;Parti socialiste;Journaliste;399;2;17;61;3.59;138;8.12;44;2.59;10;0.59;29;1.71;1;0.06;250;14.71;69;4.06;1;0.06;0;0;19;1.12;48;2.82;3;0.18
495;Isabelle Attard;Attard;Isabelle;F;1969-11-14;14;Europe Écologie Les Verts;Fonctionnaire de catégorie A;309;1;47;164;3.49;249;5.3;513;10.91;721;15.34;297;6.32;468;9.96;6379;135.72;737;15.68;2;0.04;2;0.04;59;1.26;191;4.06;18;0.38
488;Julien Aubert;Aubert;Julien;H;1978-06-11;84;Les Républicains;Magistrat à la Cour des Comptes;154;2;47;146;3.11;179;3.81;598;12.72;1584;33.7;1614;34.34;1210;25.74;6060;128.94;178;3.79;4;0.09;17;0.36;348;7.4;203;4.32;24;0.51
549;Olivier Audibert Troin;Audibert Troin;Olivier;H;1960-08-16;83;Les Républicains;Agent général d'assurances;155;2;47;117;2.49;180;3.83;148;3.15;82;1.74;52;1.11;128;2.72;2486;52.89;74;1.57;3;0.06;3;0.06;247;5.26;254;5.4;13;0.28
489;Danielle Auroi;Auroi;Danielle;F;1944-02-29;63;Europe Écologie Les Verts;Retraitée de l'enseignement;292;2;47;176;3.74;451;9.6;1545;32.87;316;6.72;175;3.72;223;4.74;6331;134.7;748;15.91;31;0.66;17;0.36;75;1.6;138;2.94;25;0.53
620;Joël Aviragnet;Aviragnet;Joël;H;1956-06-16;31;Parti socialiste;Directeur d'un établissement pour l'enfance handicapée;479;2;11;31;2.82;51;4.64;9;0.82;9;0.82;3;0.27;5;0.45;389;35.36;152;13.82;0;0;0;0;13;1.18;23;2.09;4;0.36
392;Pierre Aylagas;Aylagas;Pierre;H;1942-07-24;66;Parti socialiste;Retraité de l'enseignement;607;2;47;134;2.85;206;4.38;5;0.11;23;0.49;0;0;0;0;1327;28.23;393;8.36;0;0;0;0;67;1.43;33;0.7;10;0.21
310;Jean-Marc Ayrault;Ayrault;Jean-Marc;H;1950-01-25;44;Parti socialiste;Enseignant;420;2;20;55;2.75;64;3.2;1;0.05;11;0.55;1;0.05;3;0.15;11;0.55;3;0.15;0;0;0;0;29;1.45;0;0;0;0
421;Bruno Nestor Azerot;Azerot;Bruno Nestor;H;1961-07-22;972;Mouvement initiative Populaire;Commercant;596;2;47;38;0.81;35;0.74;12;0.26;87;1.85;43;0.91;312;6.64;1709;36.36;88;1.87;0;0;3;0.06;25;0.53;83;1.77;17;0.36
485;Alexis Bachelay;Bachelay;Alexis;H;1973-08-19;92;Parti socialiste;Fonctionnaire de catégorie A;548;2;47;151;3.21;236;5.02;126;2.68;143;3.04;475;10.11;109;2.32;927;19.72;276;5.87;4;0.09;0;0;56;1.19;30;0.64;5;0.11
601;Guillaume Bachelay;Bachelay;Guillaume;H;1974-07-13;76;Parti socialiste;Agent public;425;2;46;133;2.89;216;4.7;98;2.13;132;2.87;68;1.48;42;0.91;465;10.11;229;4.98;7;0.15;0;0;62;1.35;37;0.8;12;0.26
178;Jean-Paul Bacquet;Bacquet;Jean-Paul;H;1949-03-11;63;Parti socialiste;Médecin;331;2;47;158;3.36;259;5.51;268;5.7;48;1.02;339;7.21;58;1.23;241;5.13;104;2.21;11;0.23;0;0;72;1.53;169;3.6;6;0.13
144;Dominique Baert;Baert;Dominique;H;1959-10-24;59;Parti socialiste;Directeur à la Banque de France;498;2;47;146;3.11;318;6.77;280;5.96;164;3.49;950;20.21;105;2.23;293;6.23;147;3.13;10;0.21;1;0.02;71;1.51;162;3.45;8;0.17
626;Guy Bailliart;Bailliart;Guy;H;1946-09-24;14;Parti socialiste;Retraité de l'Éducation nationale;612;1;17;55;3.24;85;5;42;2.47;19;1.12;4;0.24;2;0.12;96;5.65;38;2.24;0;0;0;0;35;2.06;22;1.29;2;0.12
116;Patrick Balkany;Balkany;Patrick;H;1948-08-16;92;Les Républicains;Directeur de société;102;2;47;70;1.49;59;1.26;8;0.17;14;0.3;53;1.13;38;0.81;2004;42.64;59;1.26;0;0;8;0.17;114;2.43;117;2.49;1;0.02
632;Alain Ballay;Ballay;Alain;H;1954-02-19;19;Parti socialiste;Retraité;569;2;11;33;3;71;6.45;28;2.55;37;3.36;12;1.09;2;0.18;213;19.36;71;6.45;2;0.18;0;0;18;1.64;13;1.18;1;0.09
